,Symbol,Company Name,Last Price,Change,% Change,Volume,Weight,Price
270,CDW,Cdw Corp/de,,0.06,(0.03%),,0.073345,203.54
271,KHC,Kraft Heinz Co,,0.08,(0.23%),,0.072854,34.63
272,WEC,Wec Energy Group Inc,,0.04,(0.05%),,0.072652,86.81
273,AWK,American Water Works Co Inc,,5.97,(4.26%),,0.071956,146.17
274,EIX,Edison International,,9.47,(13.43%),,0.071294,80.0
275,IT,Gartner Inc,,-2.59,(-0.76%),,0.071089,337.37
276,CBRE,Cbre Group Inc A,,0.04,(0.04%),,0.071066,84.57
277,DFS,Discover Financial Services,,0.34,(0.33%),,0.070409,103.9
278,ZBH,Zimmer Biomet Holdings Inc,,1.15,(0.92%),,0.069917,125.08
279,ANSS,Ansys Inc,,1.85,(0.61%),,0.069396,303.06
280,RMD,Resmed Inc,,2.37,(1.32%),,0.069284,181.84
281,AVB,Avalonbay Communities Inc,,-47.3,(-25.25%),,0.069158,140.0
282,TROW,T Rowe Price Group Inc,,-1.8,(-1.60%),,0.068216,110.53
283,LYB,Lyondellbasell Indu Cl A,,-0.85,(-0.86%),,0.06815,98.31
284,ALGN,Align Technology Inc,,-1.89,(-0.54%),,0.067186,350.99
285,GLW,Corning Inc,,0.86,(2.65%),,0.066461,33.29
286,SBAC,Sba Communications Corp,,1.99,(0.86%),,0.065896,232.05
287,TSCO,Tractor Supply Company,,32.48,(14.60%),,0.065604,255.0
288,WY,Weyerhaeuser Co,,-2.12,(-6.42%),,0.065438,30.9
289,STT,State Street Corp,,0.11,(0.14%),,0.06542,73.79
290,XYL,Xylem Inc,,0.05,(0.04%),,0.06522,102.38
291,EFX,Equifax Inc,,0.09,(0.05%),,0.064802,197.4
292,CAH,Cardinal Health Inc,,-4.15,(-4.49%),,0.063573,88.23
293,EBAY,Ebay Inc,,0.2,(0.44%),,0.062684,44.7
294,CHD,Church & Dwight Co Inc,,0.51,(0.53%),,0.062289,96.5
295,MPWR,Monolithic Power Systems Inc,,-7.94,(-1.58%),,0.062046,494.23
296,ES,Eversource Energy,,-0.69,(-1.03%),,0.061764,66.35
297,MTB,M & T Bank Corp,,-0.02,(-0.02%),,0.061126,135.88
298,ULTA,Ulta Beauty Inc,,-0.83,(-0.19%),,0.061115,443.02
299,HIG,Hartford Financial Svcs Grp,,0.1,(0.14%),,0.060709,73.7
300,HPE,Hewlett Packard Enterprise,,0.06,(0.32%),,0.060648,17.66
301,RCL,Royal Caribbean Cruises Ltd,,-0.68,(-0.66%),,0.060332,102.14
302,STE,Steris Plc,,-12.9,(-5.65%),,0.060166,215.11
303,ALB,Albemarle Corp,,-0.37,(-0.19%),,0.059926,187.13
304,EQR,Equity Residential,,-1.92,(-2.89%),,0.059689,64.5
305,DTE,Dte Energy Company,,0.05,(0.04%),,0.059177,107.94
306,GPC,Genuine Parts Co,,0.08,(0.05%),,0.058927,158.07
